공원명,지역,위도,경도,면적,분류,크기
불암산도시자연공원,노원구,37.6636719,127.09527140000002,5332422,대형,15
용마폭포공원,중랑구,37.5731968,127.0905888,5107964,대형,15
사육신공원,동작구,37.5137049,126.94863600000001,47832,소형,3
용왕산근린공원,양천구,37.5429593,126.8783125,213552,중형,7
사직근린공원,종로구,37.5759864,126.96740179999999,168099,중형,7
우장산근린공원,강서구,37.5541932,126.844932,359435,중형,7
삼일근린공원,동작구,37.4860183,126.9743686,36660,소형,3
삼청근린공원,종로구,37.5895821,126.9842875,380735,중형,7
인왕산도시자연공원,종로구,37.5849001,126.9578438,1807420,대형,15
상도근린공원,동작구,37.492298999999996,126.9385469,359342,중형,7
일자산도시자연공원,강동구,37.5431657,127.1574587,632733,중형,7
쌍문근린공원,도봉구,37.6531456,127.02713159999999,328018,중형,7
수락산도시자연공원,노원구,37.699232,127.08136329999999,6691885,대형,15
송파나루근린공원(석촌호수),송파구,37.5069328,127.09830020000001,285757,중형,7
선유도근린공원,영등포구,37.543418,126.90014,110407,중형,7
손기정체육공원,중구,37.5560189,126.9652702,29682,소형,3
성북근린공원,성북구,37.5948509,127.0078625,137759,중형,7
봉제산공원,강서구,37.5421979,126.85178359999999,917190,중형,7
서울창포원,도봉구,37.689585,127.04793799999999,51470,소형,3
북서울꿈의숲,강북구,37.623335499999996,127.0407344,662543,중형,7
서서울호수공원,양천구,37.5278392,126.83047890000002,217946,중형,7
중랑캠핑숲,중랑구,37.6049896,127.1093075,179666,중형,7
솔밭근린공원,강북구,37.652331,127.01162409999999,34955,소형,3
금천체육공원(관악산),금천구,37.468164,126.908681,18083,소형,3
금천폭포근린공원,금천구,37.446866299999996,126.90401270000001,4835,소형,3
만수천공원(관악산),금천구,37.4734274,126.9090028,19650,소형,3
발바닥공원,도봉구,37.6597135,127.03198200000001,7000,소형,3
월천근린공원,도봉구,37.647388899999996,127.0509895,10712,소형,3
용두근린공원,동대문구,37.5732791,127.03900420000001,17182,소형,3
상암근린공원,마포구,37.576010600000004,126.8859012,160349,중형,7
와우근린공원,마포구,37.5517298,126.9289936,87432,소형,3
금호근린공원,성동구,37.5494726,127.01894569999999,13467,소형,3
달맞이근린공원,성동구,37.543564,127.0212054,46871,소형,3
문정근린공원,송파구,37.4862156,127.12758190000001,49972,소형,3
문화예술공원,서초구,37.467653999999996,127.03051699999999,74385,소형,3
세종로공원,종로구,37.5735,126.9758875,8868,소형,3
샘말공원(관악산),관악구,37.4642128,126.938511,10634,소형,3
초안산생태공원,도봉구,37.647948299999996,127.0405382,22113,소형,3
푸른수목원,구로구,37.483028999999995,126.82406999999999,0,소형,3
서오능도시자연공원,은평구,37.637482299999995,126.91343379999999,1082847,대형,15
청계산도시자연공원,서초구,37.422434700000004,127.0424726,3692455,대형,15
개화근린공원,강서구,37.581391700000005,126.8068278,386500,중형,7
아차산생태공원,광진구,37.551714200000006,127.1010031,23450,소형,3
인능산도시자연공원,서초구,37.4482109,127.0666632,2400833,대형,15
구룡산,서초구,37.468947299999996,127.061567,2752421,대형,15
우면산도시자연공원,서초구,37.470484,127.0091324,4180551,대형,15
향림근린공원,은평구,37.6293824,126.9240693,147859,중형,7
신사근린공원,은평구,37.5920771,126.91029479999999,111650,중형,7
문화역 서울284,중구,37.5558722,126.9715923,0,소형,3
광평근린공원,강남구,37.4880445,127.092184,519782,중형,7
청담근린공원,강남구,37.521325899999994,127.052453,59347,소형,3
허브천문공원,강동구,37.5372715,127.15339509999998,25500,소형,3
연신내물빛공원,은평구,37.619052,126.9207354,2560,소형,3
나들이근린공원,중랑구,37.6054218,127.11326100000001,32000,소형,3
숭인근린공원,종로구,37.5764419,127.0178267,45615,소형,3
서일대뒷산공원,중랑구,37.5877155,127.0987817,631021,중형,7
용마도시자연공원(사가정공원),중랑구,37.579762200000005,127.095997,109635,중형,7
문화비축기지,마포구,37.57171848,126.8932455,140022,중형,7
율현공원,강남구,37.472332,127.11559399999999,157535,중형,7
